dataset,image_id,path,reason,detail,source_split
eyeq,10125_right,data/raw/eyeq/images/10125_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10125_right.jpeg,train
eyeq,10129_left,data/raw/eyeq/images/10129_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10129_left.jpeg,train
eyeq,10130_left,data/raw/eyeq/images/10130_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10130_left.jpeg,train
eyeq,10131_left,data/raw/eyeq/images/10131_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10131_left.jpeg,train
eyeq,10131_right,data/raw/eyeq/images/10131_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10131_right.jpeg,train
eyeq,10134_left,data/raw/eyeq/images/10134_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10134_left.jpeg,train
eyeq,10141_left,data/raw/eyeq/images/10141_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10141_left.jpeg,train
eyeq,10147_right,data/raw/eyeq/images/10147_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10147_right.jpeg,train
eyeq,10150_left,data/raw/eyeq/images/10150_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10150_left.jpeg,train
eyeq,10150_right,data/raw/eyeq/images/10150_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10150_right.jpeg,train
eyeq,10159_left,data/raw/eyeq/images/10159_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10159_left.jpeg,train
eyeq,10159_right,data/raw/eyeq/images/10159_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10159_right.jpeg,train
eyeq,10160_left,data/raw/eyeq/images/10160_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10160_left.jpeg,train
eyeq,10160_right,data/raw/eyeq/images/10160_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10160_right.jpeg,train
eyeq,10161_right,data/raw/eyeq/images/10161_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10161_right.jpeg,train
eyeq,10166_right,data/raw/eyeq/images/10166_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10166_right.jpeg,train
eyeq,10169_left,data/raw/eyeq/images/10169_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10169_left.jpeg,train
eyeq,10177_left,data/raw/eyeq/images/10177_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10177_left.jpeg,train
eyeq,10177_right,data/raw/eyeq/images/10177_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10177_right.jpeg,train
eyeq,10181_right,data/raw/eyeq/images/10181_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10181_right.jpeg,train
eyeq,10182_left,data/raw/eyeq/images/10182_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10182_left.jpeg,train
eyeq,10182_right,data/raw/eyeq/images/10182_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10182_right.jpeg,train
eyeq,10183_left,data/raw/eyeq/images/10183_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10183_left.jpeg,train
eyeq,10183_right,data/raw/eyeq/images/10183_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10183_right.jpeg,train
eyeq,10190_left,data/raw/eyeq/images/10190_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10190_left.jpeg,train
eyeq,10190_right,data/raw/eyeq/images/10190_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10190_right.jpeg,train
eyeq,10199_left,data/raw/eyeq/images/10199_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10199_left.jpeg,train
eyeq,102_left,data/raw/eyeq/images/102_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/102_left.jpeg,train
eyeq,1020_left,data/raw/eyeq/images/1020_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/1020_left.jpeg,train
eyeq,1020_right,data/raw/eyeq/images/1020_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/1020_right.jpeg,train
eyeq,10206_left,data/raw/eyeq/images/10206_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10206_left.jpeg,train
eyeq,10206_right,data/raw/eyeq/images/10206_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10206_right.jpeg,train
eyeq,1021_left,data/raw/eyeq/images/1021_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/1021_left.jpeg,train
eyeq,1021_right,data/raw/eyeq/images/1021_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/1021_right.jpeg,train
eyeq,10210_left,data/raw/eyeq/images/10210_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10210_left.jpeg,train
eyeq,10210_right,data/raw/eyeq/images/10210_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10210_right.jpeg,train
eyeq,10212_right,data/raw/eyeq/images/10212_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10212_right.jpeg,train
eyeq,10218_left,data/raw/eyeq/images/10218_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10218_left.jpeg,train
eyeq,10218_right,data/raw/eyeq/images/10218_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10218_right.jpeg,train
eyeq,10223_left,data/raw/eyeq/images/10223_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10223_left.jpeg,train
eyeq,10223_right,data/raw/eyeq/images/10223_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10223_right.jpeg,train
eyeq,10226_right,data/raw/eyeq/images/10226_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10226_right.jpeg,train
eyeq,10230_left,data/raw/eyeq/images/10230_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10230_left.jpeg,train
eyeq,10230_right,data/raw/eyeq/images/10230_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10230_right.jpeg,train
eyeq,10234_left,data/raw/eyeq/images/10234_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10234_left.jpeg,train
eyeq,10234_right,data/raw/eyeq/images/10234_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10234_right.jpeg,train
eyeq,10239_right,data/raw/eyeq/images/10239_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10239_right.jpeg,train
eyeq,10241_right,data/raw/eyeq/images/10241_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10241_right.jpeg,train
eyeq,10243_right,data/raw/eyeq/images/10243_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10243_right.jpeg,train
eyeq,10244_right,data/raw/eyeq/images/10244_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10244_right.jpeg,train
eyeq,10255_right,data/raw/eyeq/images/10255_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10255_right.jpeg,train
eyeq,10257_left,data/raw/eyeq/images/10257_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10257_left.jpeg,train
eyeq,10257_right,data/raw/eyeq/images/10257_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10257_right.jpeg,train
eyeq,10276_left,data/raw/eyeq/images/10276_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10276_left.jpeg,train
eyeq,10276_right,data/raw/eyeq/images/10276_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10276_right.jpeg,train
eyeq,10279_left,data/raw/eyeq/images/10279_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10279_left.jpeg,train
eyeq,10284_left,data/raw/eyeq/images/10284_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10284_left.jpeg,train
eyeq,10284_right,data/raw/eyeq/images/10284_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10284_right.jpeg,train
eyeq,10288_left,data/raw/eyeq/images/10288_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10288_left.jpeg,train
eyeq,1029_left,data/raw/eyeq/images/1029_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/1029_left.jpeg,train
eyeq,10295_left,data/raw/eyeq/images/10295_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10295_left.jpeg,train
eyeq,10297_right,data/raw/eyeq/images/10297_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10297_right.jpeg,train
eyeq,10310_left,data/raw/eyeq/images/10310_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10310_left.jpeg,train
eyeq,10312_left,data/raw/eyeq/images/10312_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10312_left.jpeg,train
eyeq,10312_right,data/raw/eyeq/images/10312_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10312_right.jpeg,train
eyeq,10319_left,data/raw/eyeq/images/10319_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10319_left.jpeg,train
eyeq,10319_right,data/raw/eyeq/images/10319_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10319_right.jpeg,train
eyeq,1032_left,data/raw/eyeq/images/1032_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/1032_left.jpeg,train
eyeq,1032_right,data/raw/eyeq/images/1032_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/1032_right.jpeg,train
eyeq,10321_right,data/raw/eyeq/images/10321_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10321_right.jpeg,train
eyeq,10325_left,data/raw/eyeq/images/10325_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10325_left.jpeg,train
eyeq,10325_right,data/raw/eyeq/images/10325_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10325_right.jpeg,train
eyeq,10328_left,data/raw/eyeq/images/10328_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10328_left.jpeg,train
eyeq,10333_left,data/raw/eyeq/images/10333_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10333_left.jpeg,train
eyeq,10333_right,data/raw/eyeq/images/10333_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10333_right.jpeg,train
eyeq,10334_left,data/raw/eyeq/images/10334_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10334_left.jpeg,train
eyeq,10337_left,data/raw/eyeq/images/10337_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10337_left.jpeg,train
eyeq,10337_right,data/raw/eyeq/images/10337_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10337_right.jpeg,train
eyeq,1034_left,data/raw/eyeq/images/1034_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/1034_left.jpeg,train
eyeq,1034_right,data/raw/eyeq/images/1034_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/1034_right.jpeg,train
eyeq,10340_left,data/raw/eyeq/images/10340_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10340_left.jpeg,train
eyeq,10340_right,data/raw/eyeq/images/10340_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10340_right.jpeg,train
eyeq,10343_left,data/raw/eyeq/images/10343_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10343_left.jpeg,train
eyeq,1035_left,data/raw/eyeq/images/1035_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/1035_left.jpeg,train
eyeq,1035_right,data/raw/eyeq/images/1035_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/1035_right.jpeg,train
eyeq,10353_right,data/raw/eyeq/images/10353_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10353_right.jpeg,train
eyeq,1036_left,data/raw/eyeq/images/1036_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/1036_left.jpeg,train
eyeq,1036_right,data/raw/eyeq/images/1036_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/1036_right.jpeg,train
eyeq,10368_right,data/raw/eyeq/images/10368_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10368_right.jpeg,train
eyeq,10369_left,data/raw/eyeq/images/10369_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10369_left.jpeg,train
eyeq,10369_right,data/raw/eyeq/images/10369_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10369_right.jpeg,train
eyeq,10384_right,data/raw/eyeq/images/10384_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10384_right.jpeg,train
eyeq,10388_left,data/raw/eyeq/images/10388_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10388_left.jpeg,train
eyeq,10389_left,data/raw/eyeq/images/10389_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10389_left.jpeg,train
eyeq,10389_right,data/raw/eyeq/images/10389_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10389_right.jpeg,train
eyeq,10391_left,data/raw/eyeq/images/10391_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10391_left.jpeg,train
eyeq,10391_right,data/raw/eyeq/images/10391_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10391_right.jpeg,train
eyeq,1040_right,data/raw/eyeq/images/1040_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/1040_right.jpeg,train
eyeq,10400_left,data/raw/eyeq/images/10400_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10400_left.jpeg,train
eyeq,10400_right,data/raw/eyeq/images/10400_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10400_right.jpeg,train
eyeq,10401_left,data/raw/eyeq/images/10401_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10401_left.jpeg,train
eyeq,10407_right,data/raw/eyeq/images/10407_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10407_right.jpeg,train
eyeq,10408_left,data/raw/eyeq/images/10408_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10408_left.jpeg,train
eyeq,10409_left,data/raw/eyeq/images/10409_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10409_left.jpeg,train
eyeq,10421_left,data/raw/eyeq/images/10421_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10421_left.jpeg,train
eyeq,10421_right,data/raw/eyeq/images/10421_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10421_right.jpeg,train
eyeq,10427_left,data/raw/eyeq/images/10427_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10427_left.jpeg,train
eyeq,10427_right,data/raw/eyeq/images/10427_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10427_right.jpeg,train
eyeq,10429_right,data/raw/eyeq/images/10429_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10429_right.jpeg,train
eyeq,10437_left,data/raw/eyeq/images/10437_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10437_left.jpeg,train
eyeq,10437_right,data/raw/eyeq/images/10437_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10437_right.jpeg,train
eyeq,10440_left,data/raw/eyeq/images/10440_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10440_left.jpeg,train
eyeq,10444_left,data/raw/eyeq/images/10444_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10444_left.jpeg,train
eyeq,10448_right,data/raw/eyeq/images/10448_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10448_right.jpeg,train
eyeq,10452_left,data/raw/eyeq/images/10452_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10452_left.jpeg,train
eyeq,10452_right,data/raw/eyeq/images/10452_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10452_right.jpeg,train
eyeq,10454_left,data/raw/eyeq/images/10454_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10454_left.jpeg,train
eyeq,10457_left,data/raw/eyeq/images/10457_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10457_left.jpeg,train
eyeq,10457_right,data/raw/eyeq/images/10457_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10457_right.jpeg,train
eyeq,10464_left,data/raw/eyeq/images/10464_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10464_left.jpeg,train
eyeq,10468_left,data/raw/eyeq/images/10468_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10468_left.jpeg,train
eyeq,10468_right,data/raw/eyeq/images/10468_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10468_right.jpeg,train
eyeq,10481_left,data/raw/eyeq/images/10481_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10481_left.jpeg,train
eyeq,10489_left,data/raw/eyeq/images/10489_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10489_left.jpeg,train
eyeq,1050_left,data/raw/eyeq/images/1050_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/1050_left.jpeg,train
eyeq,10501_left,data/raw/eyeq/images/10501_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10501_left.jpeg,train
eyeq,10501_right,data/raw/eyeq/images/10501_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10501_right.jpeg,train
eyeq,10502_right,data/raw/eyeq/images/10502_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10502_right.jpeg,train
eyeq,10503_left,data/raw/eyeq/images/10503_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10503_left.jpeg,train
eyeq,1051_left,data/raw/eyeq/images/1051_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/1051_left.jpeg,train
eyeq,1051_right,data/raw/eyeq/images/1051_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/1051_right.jpeg,train
eyeq,10511_left,data/raw/eyeq/images/10511_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10511_left.jpeg,train
eyeq,10511_right,data/raw/eyeq/images/10511_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10511_right.jpeg,train
eyeq,1052_left,data/raw/eyeq/images/1052_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/1052_left.jpeg,train
eyeq,10523_left,data/raw/eyeq/images/10523_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10523_left.jpeg,train
eyeq,10523_right,data/raw/eyeq/images/10523_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10523_right.jpeg,train
eyeq,10534_left,data/raw/eyeq/images/10534_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10534_left.jpeg,train
eyeq,10541_left,data/raw/eyeq/images/10541_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10541_left.jpeg,train
eyeq,10548_right,data/raw/eyeq/images/10548_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10548_right.jpeg,train
eyeq,1055_left,data/raw/eyeq/images/1055_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/1055_left.jpeg,train
eyeq,1055_right,data/raw/eyeq/images/1055_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/1055_right.jpeg,train
eyeq,10553_left,data/raw/eyeq/images/10553_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10553_left.jpeg,train
eyeq,10553_right,data/raw/eyeq/images/10553_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10553_right.jpeg,train
eyeq,10558_left,data/raw/eyeq/images/10558_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10558_left.jpeg,train
eyeq,10558_right,data/raw/eyeq/images/10558_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10558_right.jpeg,train
eyeq,10560_left,data/raw/eyeq/images/10560_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10560_left.jpeg,train
eyeq,10560_right,data/raw/eyeq/images/10560_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10560_right.jpeg,train
eyeq,10562_left,data/raw/eyeq/images/10562_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10562_left.jpeg,train
eyeq,10562_right,data/raw/eyeq/images/10562_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10562_right.jpeg,train
eyeq,10563_right,data/raw/eyeq/images/10563_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10563_right.jpeg,train
eyeq,10567_left,data/raw/eyeq/images/10567_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10567_left.jpeg,train
eyeq,10568_left,data/raw/eyeq/images/10568_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10568_left.jpeg,train
eyeq,10569_left,data/raw/eyeq/images/10569_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10569_left.jpeg,train
eyeq,10585_left,data/raw/eyeq/images/10585_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10585_left.jpeg,train
eyeq,10585_right,data/raw/eyeq/images/10585_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10585_right.jpeg,train
eyeq,10592_right,data/raw/eyeq/images/10592_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10592_right.jpeg,train
eyeq,10594_right,data/raw/eyeq/images/10594_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10594_right.jpeg,train
eyeq,10605_right,data/raw/eyeq/images/10605_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10605_right.jpeg,train
eyeq,10606_left,data/raw/eyeq/images/10606_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10606_left.jpeg,train
eyeq,10606_right,data/raw/eyeq/images/10606_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10606_right.jpeg,train
eyeq,1061_right,data/raw/eyeq/images/1061_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/1061_right.jpeg,train
eyeq,10610_right,data/raw/eyeq/images/10610_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10610_right.jpeg,train
eyeq,10612_right,data/raw/eyeq/images/10612_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10612_right.jpeg,train
eyeq,10614_right,data/raw/eyeq/images/10614_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10614_right.jpeg,train
eyeq,10616_right,data/raw/eyeq/images/10616_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10616_right.jpeg,train
eyeq,10623_left,data/raw/eyeq/images/10623_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10623_left.jpeg,train
eyeq,10634_left,data/raw/eyeq/images/10634_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10634_left.jpeg,train
eyeq,10636_left,data/raw/eyeq/images/10636_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10636_left.jpeg,train
eyeq,10636_right,data/raw/eyeq/images/10636_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10636_right.jpeg,train
eyeq,10640_left,data/raw/eyeq/images/10640_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10640_left.jpeg,train
eyeq,10640_right,data/raw/eyeq/images/10640_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10640_right.jpeg,train
eyeq,10643_left,data/raw/eyeq/images/10643_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10643_left.jpeg,train
eyeq,10644_left,data/raw/eyeq/images/10644_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10644_left.jpeg,train
eyeq,10645_left,data/raw/eyeq/images/10645_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10645_left.jpeg,train
eyeq,10647_left,data/raw/eyeq/images/10647_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10647_left.jpeg,train
